subjnum,TaskOrder,block_Norm,CD,VD,suppress_score
5,VST_first,3,0.6977810982971714,0.7384976264047829,0.040716528107611505
5,VST_first,4,0.7436103151676532,0.7147418191820148,-0.028868495985638343
5,VST_first,5,0.6658714911837879,0.6841208679639006,0.018249376780112736
5,VST_first,6,0.7053389626163399,0.6933033305169304,-0.012035632099409499
5,VST_first,7,0.7172978593978058,0.6953326325040039,-0.02196522689380187
5,VST_first,8,0.7045212740032377,0.6860504478396614,-0.018470826163576315
6,RSVP_first,1,0.6303859498654407,0.7160394519914189,0.08565350212597822
6,RSVP_first,2,0.6579817188741679,0.6764241607139773,0.018442441839809365
6,RSVP_first,3,0.7027913470122686,0.713929564868322,0.0111382178560534
6,RSVP_first,4,0.5746917520222771,0.6318514643705693,0.0571597123482922
6,RSVP_first,5,0.7142595275616902,0.6331564694584332,-0.08110305810325702
6,RSVP_first,6,0.6696999542045811,0.6361522141974938,-0.03354774000708727
6,RSVP_first,7,0.6504635175081616,0.6256857412043345,-0.024777776303827048
6,RSVP_first,8,0.7045176045870556,0.6746362571962929,-0.029881347390762647
7,VST_first,1,0.6738738897951844,0.6386443838573698,-0.0352295059378146
7,VST_first,2,0.7402533167751291,0.7363906582801407,-0.003862658494988347
7,VST_first,3,0.7348582190357893,0.7440512815224501,0.009193062486660852
7,VST_first,4,0.764172454742866,0.7146184866830232,-0.0495539680598428
7,VST_first,5,0.664711330011454,0.7426271561178843,0.07791582610643033
7,VST_first,6,0.7163591659079245,0.7506491074136747,0.034289941505750265
7,VST_first,7,0.729242458396896,0.7672775702882333,0.03803511189133724
7,VST_first,8,0.7449960141233671,0.7118871618246942,-0.033108852298672886
8,RSVP_first,1,0.5624956190743727,0.6726579629913556,0.11016234391698287
8,RSVP_first,2,0.7386596317502405,0.7442880064171324,0.005628374666891922
8,RSVP_first,3,0.6682280979916853,0.7675295370803648,0.0993014390886795
8,RSVP_first,4,0.6111482928663434,0.6242969015114268,0.013148608645083382
8,RSVP_first,5,0.702814933472593,0.8092159414927736,0.1064010080201806
8,RSVP_first,6,0.6484461885460239,0.7272665895251148,0.07882040097909093
8,RSVP_first,7,0.7158119214549272,0.6688741763040227,-0.04693774515090454
8,RSVP_first,8,0.652002617177754,0.7826768552935048,0.13067423811575085
9,VST_first,1,0.6870611724223988,0.67043671094859425,-0.016624461473804586
9,VST_first,2,0.7593983171920586,0.696434597914767,-0.06296371927729161
9,VST_first,3,0.6994160903147217,0.7266433744158624,0.027227284101140614
9,VST_first,4,0.7436526882411985,0.7391701339986199,-0.004482554242578596
9,VST_first,5,0.7244525517614101,0.7173563684370866,-0.007096183324323491
9,VST_first,6,0.7674198274521596,0.744288945168392,-0.023130882283767695
9,VST_first,7,0.7381542873124162,0.7686110432321859,0.030456755919769707
9,VST_first,8,0.7680319491102973,0.7462198789274127,-0.021812070182884558
10,RSVP_first,1,0.6917588089426944,0.6577220789192375,-0.03403673002345686
10,RSVP_first,2,0.6481450363500236,0.71569085616922,0.06754581981919638
10,RSVP_first,3,0.6908161374701279,0.6675303378836743,-0.023285799586453604
10,RSVP_first,4,0.6927573564907653,0.6890902313865608,-0.003667125104204527
10,RSVP_first,5,0.71865254965266,0.7374480845934089,0.018795534940748926
10,RSVP_first,6,0.6760991818540986,0.6963353123217597,0.02023613046766115
10,RSVP_first,7,0.6828105435946012,0.7084255910007408,0.025615047406139513
10,RSVP_first,8,0.7320452178419344,0.6885435702441709,-0.04350164759776354
11,VST_first,1,0.6890708713526901,0.7611381537400311,0.07206728238734106
11,VST_first,2,0.7617524913088901,0.7315404201054918,-0.030212071203398305
11,VST_first,3,0.7483092045243203,0.7377921216840777,-0.010517082840242553
11,VST_first,4,0.7135026599186772,0.7469492596623339,0.03344659974365671
11,VST_first,5,0.7517408485378145,0.750019146802654,-0.001721701735160508
11,VST_first,6,0.7532820859877498,0.6962636102639319,-0.05701847572381791
11,VST_first,7,0.7558518195140989,0.6899087412646869,-0.06594307824941192
11,VST_first,8,0.7302115824724841,0.7335903039656823,0.003378721493198178
12,RSVP_first,1,0.7578632702394448,0.6370808955186298,-0.12078237472081499
12,RSVP_first,2,0.6389592500168524,0.6355559109375288,-0.003403339079323553
12,RSVP_first,3,0.6517688402104075,0.742821853212758,0.09105301300235047
12,RSVP_first,4,0.6577733953439642,0.6868789012725138,0.029105505928549658
12,RSVP_first,5,0.7003331459056243,0.7824480247707845,0.08211487886516011
12,RSVP_first,6,0.6861003443154113,0.6333241791375317,-0.05277616517787964
12,RSVP_first,7,0.6851621751133351,0.7111141243825001,0.025951949269164998
12,RSVP_first,8,0.6410079151266347,0.6813330064386126,0.04032509131197792
13,VST_first,1,0.6689550222264733,0.7291975597409307,0.060242537514457406
13,VST_first,2,0.6962923527881245,0.6279576358549164,-0.06833471693320814
13,VST_first,3,0.6997826431855326,0.6998008333805235,1.81901949908303e-5
13,VST_first,4,0.6502114296106664,0.7239455803601444,0.07373415074947809
13,VST_first,5,0.7073082963178203,0.6599585374718322,-0.04734975884598813
13,VST_first,6,0.6584331118248479,0.6984736711537756,0.040040559328927694
13,VST_first,7,0.714077658470396,0.6633706366837895,-0.050707021786606465
13,VST_first,8,0.7135273958041222,0.7229367089993787,0.009409313195256508
14,RSVP_first,1,0.6767293261355571,0.6940418050742957,0.01731247893873855
14,RSVP_first,2,0.6761599441680748,0.7728709724275866,0.09671102825951183
14,RSVP_first,3,0.7898231775110186,0.7542056578702105,-0.03561751964080806
14,RSVP_first,4,0.6727530696186271,0.6790694446510696,0.006316375032442423
14,RSVP_first,5,0.7360442481012612,0.7374936702906876,0.0014494221894263415
14,RSVP_first,6,0.6485383829592928,0.7708914683239787,0.12235308536468592
14,RSVP_first,7,0.700312882827327,0.7229934432713716,0.02268056044404465
14,RSVP_first,8,0.6810387630973894,0.6683671072093671,-0.012671655888022326
