subjnum,block_Norm,CD,VD,suppress_score
25,1,0.7222389547835126,0.7171724544223346,-0.005066500361178061
25,2,0.7585046938900541,0.7100353559834635,-0.04846933790659069
25,3,0.7184077582295801,0.7298163453327005,0.011408587103120316
25,4,0.6530518434405252,0.7399800225857996,0.0869281791452744
25,5,0.7340279063023992,0.607188668647742,-0.1268392376546572
25,6,0.673315827026587,0.6827573575600294,0.009441530533442433
25,7,0.6066908159398798,0.7548226202502448,0.148131804310365
25,8,0.768519758933478,0.7463019391605881,-0.022217819772889946
27,1,0.659535065620156,0.5808514957853754,-0.07868356983478053
27,2,0.667338614675146,0.6575222128275725,-0.009816401847573486
27,3,0.7521323421029901,0.6922217038609746,-0.05991063824201548
27,4,0.6901545856481469,0.7164516350401551,0.026297049392008165
27,5,0.7471051511195074,0.7508357850740714,0.0037306339545640776
27,6,0.7603853500265711,0.7485430404714367,-0.011842309555134434
27,7,0.7342415182281279,0.7138036831970402,-0.020437835031087648
27,8,0.7411069839150335,0.7086523543828693,-0.03245462953216416
29,1,0.6869906373374732,0.6610330282116226,-0.025957609125850656
29,2,0.651355703915161,0.6200395388471832,-0.03131616506797774
29,3,0.6039653500319807,0.6719953132488139,0.06802996321683319
29,4,0.6632927005155842,0.6969570867305144,0.033664386214930175
29,5,0.6852734960564049,0.6165256692940262,-0.06874782676237867
29,6,0.589056736110786,0.677299635182648,0.088242899071862
29,7,0.5927965799105679,0.6538560194504877,0.06105943953991977
29,8,0.7274735870170184,0.6812266218624895,-0.04624696515452886
31,1,0.6738768120539647,0.6567441680383618,-0.017132644015602883
31,2,0.6843283878705197,0.6927424453913518,0.008414057520832019
31,3,0.7068456003603973,0.7150022528496737,0.008156652489276328
31,4,0.6718582239578961,0.6386794310811257,-0.03317879287677039
31,5,0.6552478083403376,0.7048421735888301,0.04959436524849248
31,6,0.725747087804374,0.67372447399688,-0.05202261380749407
31,7,0.6939892012188998,0.7402075722378535,0.04621837101895365
31,8,0.7369318518724001,0.7325882564733694,-0.00434359539903062
33,1,0.7502702150322471,0.7309991717771581,-0.019271043255088993
33,2,0.7226582572698842,0.7019292903253117,-0.02072896694457249
33,3,0.6881317436916516,0.7020689730721004,0.013937229380448724
33,4,0.7659378329908921,0.7282752006792745,-0.037662632311617594
33,5,0.7341714107343751,0.6837146201318018,-0.05045679060257324
33,6,0.7504469957038846,0.68318865746209,-0.06725833824179461
33,7,0.6707337079283132,0.7047955230966639,0.03406181516835072
33,8,0.6968740703709065,0.6827822465935522,-0.014091823777354295
35,1,0.6557854445089335,0.6111092542131527,-0.04467619029578085
35,2,0.6431264857131694,0.6928486006630632,0.04972211494989376
35,3,0.6080011331532571,0.6643094412830318,0.05630830812977472
35,4,0.6354539814362992,0.644238047833954,0.008784066397654833
35,5,0.7863696810463934,0.7758552597104053,-0.010514421335988122
35,6,0.6276976625206003,0.676446435225346,0.048748772704745647
35,7,0.6541300951601677,0.7413149614993186,0.0871848663391509
35,8,0.7018123838926977,0.7734441551525936,0.07163177125989584
37,1,0.6049403702939264,0.6987407090388652,0.09380033874493876
37,2,0.6601106739740388,0.6233026788641272,-0.03680799510991162
37,3,0.7213106200696859,0.6277729347840998,-0.09353768528558615
37,4,0.6603634696212596,0.6260395913588005,-0.034323878262459084
37,5,0.620553247292975,0.6321027188419931,0.011549471549018087
37,6,0.6879892240783343,0.6199408202358857,-0.06804840384244859
37,7,0.6604088496512813,0.6270862984208273,-0.03332255123045402
37,8,0.6868314491384702,0.7152342038056007,0.028402754667130492
39,1,0.749543043982406,0.6501965453628656,-0.09934649861954037
39,2,0.6671098669806768,0.6739079028927233,0.0067980359120465295
39,3,0.7609104335768531,0.7512363804670954,-0.009674053109757663
39,4,0.7085142765335604,0.8194663540275283,0.11095207749396796
39,5,0.7353641746253762,0.7769536780629905,0.04158950343761436
39,6,0.7944143032758819,0.787326902669257,-0.007087400606624938
39,7,0.7813854926775526,0.7716073832723257,-0.009778109405226942
39,8,0.7688523644696678,0.7696222062319472,7.698417622794551e-4
41,1,0.7218655314657575,0.6747468492231384,-0.04711868224261906
41,2,0.7263947895972956,0.7210021475824528,-0.005392642014842797
41,3,0.7132975401013457,0.7507464178938116,0.03744887779246586
41,4,0.6719353250912014,0.7138483492543009,0.0419130241630995
41,5,0.732477183857705,0.7279747905589159,-0.004502393298789098
41,6,0.7203744570187944,0.7101319548092822,-0.010242502209512283
41,7,0.7062656338917557,0.7727289577415662,0.06646332384981057
41,8,0.7273098974857741,0.7460751324225958,0.018765234936821695
43,1,0.5897485615536624,0.5921644050753634,0.002415843521700989
43,2,0.6250222676179318,0.6276442903189503,0.0026220227010185226
43,3,0.6184624964529895,0.6231276795721732,0.004665183119183736
43,4,0.5639342653144713,0.6016251533402881,0.03769088802581677
43,5,0.5771635790600133,0.54719696106790106,-0.0299666179921122
43,6,0.6728887418038914,0.5827545727111416,-0.09013416909274974
43,7,0.6310939590267165,0.5552913275470922,-0.0758026314796243
43,8,0.5740608550926408,0.6034406559043557,0.029379800811714873
45,1,0.6083003388442888,0.6028722364471437,-0.005428102397145085
45,2,0.6723123019837182,0.6037691278248116,-0.06854317415890654
45,3,0.6784035189021638,0.5925722482724953,-0.08583127062966844
45,4,0.7607072890214268,0.672983025705084,-0.08772426331634287
45,5,0.6807138047604371,0.6941466682692816,0.01343286350884454
45,6,0.6258516969772695,0.6863087461944009,0.06045704921713135
45,7,0.7467351829471081,0.6560087344185042,-0.0907264485286039
45,8,0.7269141492777446,0.6057744821192939,-0.1211396671584507
47,1,0.6888282703388922,0.7034342521142373,0.014605981775345112
47,2,0.7302787813459899,0.7048420941856623,-0.025436687160327542
47,3,0.7153613243790927,0.666837204856225,-0.048524119522867726
47,4,0.6974573019205086,0.7023635799786228,0.004906278058114166
47,5,0.6468192752029931,0.6862983465246859,0.039479071321692816
47,6,0.7220077764126639,0.7155538433071147,-0.006453933105549203
47,7,0.7503962535346088,0.660347333369915,-0.09004892016469379
47,8,0.6296500171188104,0.6332611667810732,0.003611149662262836
