subjnum,mean_p_efficient,learning_slope,transition_trial,end_p_efficient,early_p_efficient,late_p_efficient,cd_mean_efficient,cd_learning_slope,cd_end_efficient,vd_mean_efficient,vd_learning_slope,vd_end_efficient,overall_suppress,early_suppress,late_suppress,suppress_growth
21,0.32964244125061604,4.140163597042087e-4,80,0.34172034794872336,0.3004601597322121,0.36461843523943255,0.3263888876761125,-9.5122127723502e-5,0.28020384920757,0.3326484418357552,8.582843338877237e-4,0.3970851968157613,-0.005957035325476239,0.05903254352527243,-0.1018665852504883,-0.16089912877576074
23,0.2988865163053975,2.4002567781308628e-4,233,0.38924973162344884,0.2787762381119666,0.32413157416745897,0.32661272369462696,2.4510705432073335e-4,0.48414576837519,0.27066073761185755,2.3693072359870778e-4,0.2870539997369583,0.05588052331515747,0.08929147188413228,0.062391259164695845,-0.026900212719436434
25,0.29272750435797,9.61392226729366e-5,213,0.24444063593404108,0.27345540306072863,0.2854943093334409,0.2990085746901779,2.8196959296763005e-4,0.23148024106652193,0.28632792326477713,-7.013115120708251e-5,0.2536980608394119,0.006664650674610778,-0.026767919133884377,0.06295699226873752,0.0897249114026219
27,0.28698336317260864,-3.9504598933607027e-4,NA,0.27451931919304556,0.35658287051833704,0.2748489842387539,0.27843645526843785,-3.905117660867982e-4,0.2588930160849665,0.2966330979031241,-4.1291144147253774e-4,0.2913476456171307,-0.022889712587022937,-0.04424998584117701,-0.026446232281625903,0.017803753559551105
29,0.3449953161632811,-3.172911662162672e-5,148,0.2906230515217103,0.3441469033403765,0.3360771335990855,0.3493780880407543,4.618659240158151e-5,0.2725264129829816,0.34048106112948373,-1.3093373400194529e-4,0.3187733781375105,0.00984101524160115,-0.0286368870969142,0.007406237192695453,0.03604312428960965
31,0.3051260952404125,-2.3970103344833328e-4,NA,0.2653203827789491,0.3224855001229404,0.27282715438587085,0.3061308083550725,-2.022899136048876e-4,0.2630681481275999,0.3041306850249624,-2.7898158702391806e-4,0.26741174352663055,7.132250223320646e-4,-0.004359293247385432,0.020937387809961516,0.025296681057346948
33,0.2864832086339979,1.7574090011763616e-4,185,0.30962984829556467,0.27401125698909684,0.3098101464519371,0.27588259498768486,2.072696788741839e-4,0.3031259296290935,0.2971919918073141,1.537943434245891e-4,0.3172177534064477,-0.020183818823025224,-0.020000005099830742,0.009984995695498211,0.029985000795328953
35,0.32098342708336247,-4.356432701943617e-4,150,0.26512679860273497,0.34933449323373245,0.28652010940144845,0.33762054639953515,-2.568730299966825e-4,0.29818761610730227,0.3040102043466611,-6.423390094056059e-4,0.2265558448474064,0.03339866101866834,0.002522962327056455,0.07940831879952337,0.07688535647246691
37,0.3466008392239357,-1.7452667052802364e-4,32,0.2995846247163805,0.35743228394759385,0.33134974209211143,0.33831997133030256,-2.10004134217439e-4,0.31316855086152984,0.35526243667589674,-1.370074678070646e-4,0.2847657961943993,-0.016535993596221515,0.02849617181751357,-0.0024598982816617654,-0.030956070099175337
39,0.25156362558424683,-4.5413670287388074e-4,NA,0.2307627146491925,0.31591716021005284,0.22695852924060475,0.25208876730493823,-3.6040058881309624e-4,0.23114763553033227,0.25104325787919807,-5.406029405602165e-4,0.23037779376805276,0.004277924608094799,-0.04627423135374692,-0.004504133821473744,0.041770097532273176
41,0.2783968109645731,-9.763107346803066e-5,NA,0.263307485045815,0.2880931704021544,0.262534804657416,0.28495862633739266,9.041137509036862e-6,0.2726901025142259,0.27138467492891294,-2.202245549824339e-4,0.2539248675774042,0.0121667801220543,-0.026255662128730928,0.042614279393316135,0.06886994152204706
43,0.40033118531002,6.260727196253853e-5,17,0.41070517411609964,0.3909673758140848,0.4081541517959215,0.3931739317411613,-4.718645468675163e-5,0.42593914490735924,0.40715083257846085,1.8050954494629824e-4,0.39655934409564425,-0.014891210048131417,0.0025189331113597557,-0.02321141533395471,-0.025730348445314466
45,0.33660492031876477,-3.098908050961126e-4,22,0.33589901147108175,0.3792655185628173,0.318103586102736,0.31104463586040004,-3.552570662435748e-4,0.27308585072225544,0.36074518897388697,-2.790682860604554e-4,0.3942255178807062,-0.048187876682892705,-0.03698563827802581,-0.1059330578435273,-0.06894741956550149
47,0.30906937341462265,1.673352847753534e-4,231,0.3686112811919519,0.2927120197141858,0.33258442355789203,0.30233814491308864,1.1156309642737219e-4,0.37034998288118953,0.31586292810598576,2.2711777238250942e-4,0.36673883321892675,-0.013482647392002917,-0.005415352692491215,-0.04321888525121548,-0.03780353255872426
