subjnum,TaskOrder,trial_num,trial_id,condition,block_Norm,p_efficient,p_engaged,n_fix
1,VST_first,89,1_4_125,VD,3,0.11464594573609461,0.8853540542639053,3
1,VST_first,90,1_4_126,VD,3,0.7466176679277399,0.25338233207226013,4
1,VST_first,91,1_4_127,VD,3,0.12635466364725445,0.8736453363527455,4
1,VST_first,92,1_4_128,VD,3,0.09982344535655248,0.9001765546434475,3
1,VST_first,93,1_5_129,VD,4,0.5622599630839216,0.43774003691607843,4
1,VST_first,94,1_5_130,CD,4,0.3078675721638127,0.6921324278361872,4
1,VST_first,95,1_5_131,CD,4,0.3115719155177093,0.6884280844822906,4
1,VST_first,96,1_5_132,VD,4,0.3367359648182756,0.6632640351817244,5
1,VST_first,97,1_5_133,CD,4,0.20972543087889897,0.7902745691211011,5
1,VST_first,98,1_5_134,VD,4,0.3054005842714872,0.6945994157285128,4
1,VST_first,99,1_5_135,CD,4,0.1643678486218932,0.8356321513781069,4
1,VST_first,100,1_5_136,CD,4,0.28354777868389347,0.7164522213161065,5
1,VST_first,101,1_5_137,VD,4,0.25601767408124826,0.7439823259187518,4
1,VST_first,102,1_5_138,CD,4,0.5931670240519136,0.4068329759480864,5
1,VST_first,103,1_5_139,VD,4,0.6703735255001654,0.3296264744998346,3
1,VST_first,104,1_5_140,CD,4,0.3626401175557787,0.6373598824442214,4
1,VST_first,107,1_5_143,VD,4,0.2831179683172924,0.7168820316827076,4
1,VST_first,108,1_5_144,VD,4,0.22768054642344032,0.7723194535765597,4
1,VST_first,109,1_5_145,CD,4,0.3587024743374947,0.6412975256625054,4
1,VST_first,110,1_5_146,CD,4,0.2219724494059356,0.7780275505940644,4
1,VST_first,111,1_5_147,CD,4,0.19382255209456567,0.8061774479054343,5
1,VST_first,112,1_5_148,VD,4,0.12697092706071283,0.8730290729392872,3
1,VST_first,113,1_5_149,VD,4,0.3283448164377928,0.6716551835622071,4
1,VST_first,114,1_5_150,CD,4,0.09987997796643218,0.9001200220335678,3
1,VST_first,115,1_5_151,CD,4,0.35842185582673036,0.6415781441732696,4
1,VST_first,116,1_5_152,VD,4,0.42706236064985903,0.572937639350141,5
1,VST_first,117,1_5_153,VD,4,0.15274349022610317,0.8472565097738969,4
1,VST_first,118,1_5_154,VD,4,0.3177094052743108,0.6822905947256892,4
1,VST_first,119,1_5_155,CD,4,0.1063828461485051,0.8936171538514949,4
1,VST_first,120,1_5_156,VD,4,0.4325353235697521,0.5674646764302479,4
1,VST_first,121,1_5_157,CD,4,0.5534075305751907,0.4465924694248093,4
1,VST_first,122,1_5_158,CD,4,0.2431879195261233,0.7568120804738767,4
1,VST_first,123,1_5_159,CD,4,0.5154134429736363,0.4845865570263636,2
1,VST_first,124,1_5_160,VD,4,0.18825859087282348,0.8117414091271765,4
1,VST_first,125,1_6_161,CD,5,0.12284284217091389,0.8771571578290861,4
1,VST_first,126,1_6_162,VD,5,0.5224134228038309,0.47758657719616915,2
1,VST_first,127,1_6_163,CD,5,0.31753221879449434,0.6824677812055058,4
1,VST_first,128,1_6_164,VD,5,0.5292214951431597,0.4707785048568403,2
1,VST_first,129,1_6_165,CD,5,0.1285788086939563,0.8714211913060437,4
1,VST_first,130,1_6_166,VD,5,0.13290678893513114,0.8670932110648688,4
1,VST_first,131,1_6_167,VD,5,0.2698906094533688,0.7301093905466312,4
1,VST_first,132,1_6_168,CD,5,0.5647786789788207,0.4352213210211793,4
1,VST_first,133,1_6_169,VD,5,0.5330392367758294,0.4669607632241706,5
1,VST_first,134,1_6_170,VD,5,0.9999999955470631,4.452936895710376e-9,2
1,VST_first,135,1_6_171,CD,5,0.3700194755222106,0.6299805244777894,4
1,VST_first,136,1_6_172,VD,5,0.32637499118126595,0.673625008818734,4
1,VST_first,137,1_6_173,CD,5,0.10028216900506812,0.8997178309949319,3
1,VST_first,138,1_6_174,VD,5,0.2977720233400151,0.7022279766599848,4
1,VST_first,139,1_6_175,CD,5,0.5260375154632018,0.47396248453679823,2
1,VST_first,140,1_6_176,VD,5,0.4032449905796161,0.5967550094203838,3
1,VST_first,141,1_6_177,VD,5,0.20234488606191295,0.7976551139380871,4
1,VST_first,142,1_6_178,CD,5,0.5155905458570302,0.48440945414296976,2
1,VST_first,143,1_6_179,VD,5,0.11016626727720903,0.889833732722791,3
1,VST_first,144,1_6_180,VD,5,0.31518308617599905,0.684816913824001,5
1,VST_first,146,1_6_182,CD,5,0.35582031877516324,0.6441796812248368,3
1,VST_first,147,1_6_183,CD,5,0.22647699132580412,0.7735230086741959,3
1,VST_first,148,1_6_184,CD,5,0.12222407055874615,0.8777759294412538,4
1,VST_first,149,1_6_185,CD,5,0.3715147313477045,0.6284852686522955,4
1,VST_first,150,1_6_186,VD,5,0.5154134429736363,0.4845865570263636,2
